Kosten nach Verbesserung: 3.111275572297222E7
Variable Kosten: 12755.722972222138
Anzahl Umlaeufe: 74
Ersparnis: 2.1499600264427774E7
Anzahl Ladestationen: 6
Gesamtverbrauch in kWh: 20324.520499999846
Zeitdauer: 536.3613888888889
Anzahl Servicefahrten: 867

*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten; Fahrzeuge; Ladestationen
0;5.2612355987399995E7;79;42
0;4.2112355987399995E7;79;42
1;4.2112351679572225E7;79;42
2;4.186236235417777E7;79;41
3;4.186236235417777E7;79;41
4;4.1612371961972214E7;79;40
5;4.1612371961972214E7;79;40
6;4.1612371961972214E7;79;40
7;4.1612371961972214E7;79;40
8;4.1612371961972214E7;79;40
9;4.1612371961972214E7;79;40
10;4.1612371961972214E7;79;40
11;4.1612371961972214E7;79;40
12;4.136243606144444E7;79;39
13;4.136243606144444E7;79;39
14;4.136243606144444E7;79;39
15;4.136243606144444E7;79;39
16;4.136243606144444E7;79;39
17;4.136243606144444E7;79;39
18;4.136243606144444E7;79;39
19;4.111247768977222E7;79;38
20;4.111247768977222E7;79;38
21;4.111247768977222E7;79;38
22;4.111247768977222E7;79;38
23;4.061248104343333E7;79;36
24;4.061248104343333E7;79;36
25;4.061248104343333E7;79;36
26;4.061248104343333E7;79;36
27;4.061248104343333E7;79;36
28;4.061248104343333E7;79;36
29;4.061248104343333E7;79;36
30;4.061248104343333E7;79;36
31;4.061248104343333E7;79;36
32;4.061248104343333E7;79;36
33;4.061248104343333E7;79;36
34;4.0362533069749996E7;79;35
35;4.0362533069749996E7;79;35
36;4.0362533069749996E7;79;35
37;4.0362533069749996E7;79;35
38;4.0362533069749996E7;79;35
39;4.0362533069749996E7;79;35
40;4.0362533069749996E7;79;35
41;4.0362533069749996E7;79;35
42;4.011255941402778E7;79;34
43;4.011255941402778E7;79;34
44;3.986255950136111E7;79;33
45;3.986255519128333E7;79;33
46;3.986255519128333E7;79;33
47;3.986255519128333E7;79;33
48;3.986255519128333E7;79;33
49;3.986255519128333E7;79;33
50;3.961258748590556E7;79;32
51;3.961258748590556E7;79;32
52;3.961258748590556E7;79;32
53;3.961258748590556E7;79;32
54;3.961258748590556E7;79;32
55;3.961258748590556E7;79;32
56;3.961258748590556E7;79;32
57;3.961258748590556E7;79;32
58;3.961258748590556E7;79;32
59;3.961258748590556E7;79;32
60;3.961258748590556E7;79;32
61;3.961258748590556E7;79;32
62;3.961258748590556E7;79;32
63;3.961258748590556E7;79;32
64;3.961258748590556E7;79;32
65;3.961258748590556E7;79;32
66;3.961258748590556E7;79;32
67;3.961258748590556E7;79;32
68;3.936264331248889E7;79;31
69;3.936264331248889E7;79;31
70;3.936264331248889E7;79;31
71;3.911266119416111E7;79;30
72;3.911265688003333E7;79;30
73;3.911265593817222E7;79;30
74;3.911265593817222E7;79;30
75;3.911265593817222E7;79;30
76;3.911265593817222E7;79;30
77;3.911265593817222E7;79;30
78;3.911265593817222E7;79;30
79;3.911265593817222E7;79;30
80;3.911265593817222E7;79;30
81;3.911265593817222E7;79;30
82;3.911265593817222E7;79;30
83;3.911265593817222E7;79;30
84;3.911265593817222E7;79;30
85;3.911265593817222E7;79;30
86;3.911265593817222E7;79;30
87;3.911265593817222E7;79;30
88;3.911265593817222E7;79;30
89;3.911265593817222E7;79;30
90;3.911265593817222E7;79;30
91;3.911265593817222E7;79;30
92;3.911265593817222E7;79;30
93;3.911265593817222E7;79;30
94;3.911265593817222E7;79;30
95;3.911265593817222E7;79;30
96;3.911265593817222E7;79;30
97;3.911265593817222E7;79;30
98;3.911265593817222E7;79;30
99;3.911265593817222E7;79;30
100;3.911265593817222E7;79;30
101;3.911265593817222E7;79;30
102;3.911265593817222E7;79;30
103;3.911265593817222E7;79;30
104;3.911265593817222E7;79;30
105;3.911265593817222E7;79;30
106;3.911265593817222E7;79;30
107;3.911265593817222E7;79;30
108;3.911265593817222E7;79;30
109;3.911265593817222E7;79;30
110;3.8862697328883335E7;79;29
111;3.88626879743E7;79;29
112;3.8862687930588886E7;79;29
113;3.886268619471666E7;79;29
114;3.886268619471666E7;79;29
115;3.886268619471666E7;79;29
116;3.886268619471666E7;79;29
117;3.886268619471666E7;79;29
118;3.886268619471666E7;79;29
119;3.886268619471666E7;79;29
120;3.886268619471666E7;79;29
121;3.886268619471666E7;79;29
122;3.886268619471666E7;79;29
123;3.886268619471666E7;79;29
124;3.886268619471666E7;79;29
125;3.886268619471666E7;79;29
126;3.886268619471666E7;79;29
127;3.886268619471666E7;79;29
128;3.886268619471666E7;79;29
129;3.886268619471666E7;79;29
130;3.886268619471666E7;79;29
131;3.886268619471666E7;79;29
132;3.886268619471666E7;79;29
133;3.886268619471666E7;79;29
134;3.886268619471666E7;79;29
135;3.886268619471666E7;79;29
136;3.886268619471666E7;79;29
137;3.886268619471666E7;79;29
138;3.886268619471666E7;79;29
139;3.886268619471666E7;79;29
140;3.886268619471666E7;79;29
141;3.886268619471666E7;79;29
142;3.886268619471666E7;79;29
143;3.886268619471666E7;79;29
144;3.886268619471666E7;79;29
145;3.886268619471666E7;79;29
146;3.886268619471666E7;79;29
147;3.886268619471666E7;79;29
148;3.886268619471666E7;79;29
149;3.886268619471666E7;79;29
150;3.886268619471666E7;79;29
151;3.886268619471666E7;79;29
152;3.886268619471666E7;79;29
153;3.886268619471666E7;79;29
154;3.886268619471666E7;79;29
155;3.886268619471666E7;79;29
156;3.886268619471666E7;79;29
157;3.886268619471666E7;79;29
158;3.886268619471666E7;79;29
159;3.886268619471666E7;79;29
160;3.886268619471666E7;79;29
161;3.886268619471666E7;79;29
162;3.886268619471666E7;79;29
163;3.886268619471666E7;79;29
164;3.886268619471666E7;79;29
165;3.886268619471666E7;79;29
166;3.886268619471666E7;79;29
167;3.886268619471666E7;79;29
168;3.8612782607716665E7;79;28
169;3.8612782607716665E7;79;28
170;3.8612782607716665E7;79;28
171;3.861277965008333E7;79;28
172;3.861277965008333E7;79;28
173;3.861277965008333E7;79;28
174;3.861277965008333E7;79;28
175;3.861277965008333E7;79;28
176;3.861277965008333E7;79;28
177;3.861277965008333E7;79;28
178;3.861277965008333E7;79;28
179;3.861277965008333E7;79;28
180;3.861277965008333E7;79;28
181;3.861277965008333E7;79;28
182;3.861277965008333E7;79;28
183;3.861277965008333E7;79;28
184;3.861277965008333E7;79;28
185;3.861277965008333E7;79;28
186;3.861277965008333E7;79;28
187;3.861277965008333E7;79;28
188;3.861277965008333E7;79;28
189;3.861277965008333E7;79;28
190;3.861277965008333E7;79;28
191;3.861277965008333E7;79;28
192;3.861277965008333E7;79;28
193;3.861277965008333E7;79;28
194;3.861277965008333E7;79;28
195;3.861277965008333E7;79;28
196;3.861277965008333E7;79;28
197;3.861277965008333E7;79;28
198;3.861277965008333E7;79;28
199;3.861277965008333E7;79;28
200;3.861277965008333E7;79;28
201;3.861277965008333E7;79;28
202;3.861277965008333E7;79;28
203;3.861277965008333E7;79;28
204;3.861277965008333E7;79;28
205;3.861277965008333E7;79;28
206;3.861277965008333E7;79;28
207;3.8362884992922224E7;79;27
208;3.8362884992922224E7;79;27
209;3.8362884992922224E7;79;27
210;3.836288268812222E7;79;27
211;3.836287498967222E7;79;27
212;3.836287498967222E7;79;27
213;3.836287411739445E7;79;27
214;3.836287411739445E7;79;27
215;3.836287411739445E7;79;27
216;3.836287411739445E7;79;27
217;3.836287411739445E7;79;27
218;3.836287411739445E7;79;27
219;3.836287411739445E7;79;27
220;3.836287411739445E7;79;27
221;3.836287411739445E7;79;27
222;3.836287411739445E7;79;27
223;3.836287411739445E7;79;27
224;3.836287411739445E7;79;27
225;3.836287411739445E7;79;27
226;3.836287411739445E7;79;27
227;3.836287411739445E7;79;27
228;3.836287411739445E7;79;27
229;3.836287411739445E7;79;27
230;3.836287411739445E7;79;27
231;3.836287411739445E7;79;27
232;3.836287411739445E7;79;27
233;3.836287411739445E7;79;27
234;3.836287411739445E7;79;27
235;3.836287411739445E7;79;27
236;3.836287411739445E7;79;27
237;3.836287411739445E7;79;27
238;3.811294338119444E7;79;26
239;3.81129394328E7;79;26
240;3.811293626810556E7;79;26
241;3.811293198382778E7;79;26
242;3.811293198382778E7;79;26
243;3.78629397985E7;79;25
244;3.786293774809445E7;79;25
245;3.786293774809445E7;79;25
246;3.786293774809445E7;79;25
247;3.786293774809445E7;79;25
248;3.786293774809445E7;79;25
249;3.786293774809445E7;79;25
250;3.786293774809445E7;79;25
251;3.786293774809445E7;79;25
252;3.786293774809445E7;79;25
253;3.786293774809445E7;79;25
254;3.786293774809445E7;79;25
255;3.786293774809445E7;79;25
256;3.786293774809445E7;79;25
257;3.786293774809445E7;79;25
258;3.786293774809445E7;79;25
259;3.786293774809445E7;79;25
260;3.786293774809445E7;79;25
261;3.786293774809445E7;79;25
262;3.786293774809445E7;79;25
263;3.786293774809445E7;79;25
264;3.786293774809445E7;79;25
265;3.786293774809445E7;79;25
266;3.786293774809445E7;79;25
267;3.786293774809445E7;79;25
268;3.786293774809445E7;79;25
269;3.786293774809445E7;79;25
270;3.786293774809445E7;79;25
271;3.786293774809445E7;79;25
272;3.786293774809445E7;79;25
273;3.786293774809445E7;79;25
274;3.786293774809445E7;79;25
275;3.786293774809445E7;79;25
276;3.786293774809445E7;79;25
277;3.786293774809445E7;79;25
278;3.786293774809445E7;79;25
279;3.786293774809445E7;79;25
280;3.786293774809445E7;79;25
281;3.761296088683889E7;79;24
282;3.761295936141667E7;79;24
283;3.761295936141667E7;79;24
284;3.761295213367778E7;79;24
285;3.761294790172777E7;79;24
286;3.761294790172777E7;79;24
287;3.761294790172777E7;79;24
288;3.761294441635556E7;79;24
289;3.761294320412777E7;79;24
290;3.761294209213333E7;79;24
291;3.761294209213333E7;79;24
292;3.761294209213333E7;79;24
293;3.761294209213333E7;79;24
294;3.761294209213333E7;79;24
295;3.761294209213333E7;79;24
296;3.761294209213333E7;79;24
297;3.761294209213333E7;79;24
298;3.736295804496667E7;79;23
299;3.736295804496667E7;79;23
300;3.736295804496667E7;79;23
301;3.736295804496667E7;79;23
302;3.736295804496667E7;79;23
303;3.736295804496667E7;79;23
304;3.736295804496667E7;79;23
305;3.736295804496667E7;79;23
306;3.736295804496667E7;79;23
307;3.736295804496667E7;79;23
308;3.736295804496667E7;79;23
309;3.736295804496667E7;79;23
310;3.736295804496667E7;79;23
311;3.736295804496667E7;79;23
312;3.736295804496667E7;79;23
313;3.736295804496667E7;79;23
314;3.736295804496667E7;79;23
315;3.736295804496667E7;79;23
316;3.736295804496667E7;79;23
317;3.736295804496667E7;79;23
318;3.736295804496667E7;79;23
319;3.736295804496667E7;79;23
320;3.736295804496667E7;79;23
321;3.736295804496667E7;79;23
322;3.736295804496667E7;79;23
323;3.736295804496667E7;79;23
324;3.736295804496667E7;79;23
325;3.736295804496667E7;79;23
326;3.736295804496667E7;79;23
327;3.736295804496667E7;79;23
328;3.736295804496667E7;79;23
329;3.736295804496667E7;79;23
330;3.736295804496667E7;79;23
331;3.736295804496667E7;79;23
332;3.736295804496667E7;79;23
333;3.736295804496667E7;79;23
334;3.736295804496667E7;79;23
335;3.736295804496667E7;79;23
336;3.736295804496667E7;79;23
337;3.736295804496667E7;79;23
338;3.736295804496667E7;79;23
339;3.7362949971872225E7;79;23
340;3.7362949971872225E7;79;23
341;3.711296461088333E7;79;22
342;3.711295803246111E7;79;22
343;3.711295803246111E7;79;22
344;3.711295669273333E7;79;22
345;3.711295669273333E7;79;22
346;3.711295669273333E7;79;22
347;3.711295669273333E7;79;22
348;3.711295613798889E7;79;22
349;3.711295023549444E7;79;22
350;3.711294803027222E7;79;22
351;3.711294287658889E7;79;22
352;3.711294287658889E7;79;22
353;3.711294191195555E7;79;22
354;3.711293424661667E7;79;22
355;3.711293173311667E7;79;22
356;3.711292381470556E7;79;22
357;3.711292381470556E7;79;22
358;3.711292381470556E7;79;22
359;3.711292381470556E7;79;22
360;3.711292381470556E7;79;22
361;3.711292381470556E7;79;22
362;3.711292381470556E7;79;22
363;3.711292381470556E7;79;22
364;3.711292381470556E7;79;22
365;3.711292381470556E7;79;22
366;3.711292381470556E7;79;22
367;3.711292381470556E7;79;22
368;3.711292381470556E7;79;22
369;3.711292381470556E7;79;22
370;3.711292381470556E7;79;22
371;3.686296075873333E7;79;21
372;3.686295680208889E7;79;21
373;3.686295284319445E7;79;21
374;3.686294323232222E7;79;21
375;3.6862942270661116E7;79;21
376;3.6862942270661116E7;79;21
377;3.6862942270661116E7;79;21
378;3.686293975625E7;79;21
379;3.686293975625E7;79;21
380;3.686293975625E7;79;21
381;3.686293975625E7;79;21
382;3.686293975625E7;79;21
383;3.686293975625E7;79;21
384;3.686293975625E7;79;21
385;3.686293752435E7;79;21
386;3.686293752435E7;79;21
387;3.6862935757572226E7;79;21
388;3.6862929470061116E7;79;21
389;3.686292924362222E7;79;21
390;3.686292924362222E7;79;21
391;3.686292924362222E7;79;21
392;3.686292924362222E7;79;21
393;3.686292924362222E7;79;21
394;3.686292924362222E7;79;21
395;3.686292924362222E7;79;21
396;3.686292924362222E7;79;21
397;3.686292924362222E7;79;21
398;3.686292924362222E7;79;21
399;3.686292595280556E7;79;21
400;3.686292201146111E7;79;21
401;3.686292201146111E7;79;21
402;3.686292201146111E7;79;21
403;3.686292201146111E7;79;21
404;3.686292201146111E7;79;21
405;3.686292201146111E7;79;21
406;3.686292201146111E7;79;21
407;3.686292201146111E7;79;21
408;3.686292201146111E7;79;21
409;3.686292201146111E7;79;21
410;3.686292201146111E7;79;21
411;3.686292201146111E7;79;21
412;3.686292201146111E7;79;21
413;3.686292201146111E7;79;21
414;3.686292201146111E7;79;21
415;3.686292201146111E7;79;21
416;3.686292201146111E7;79;21
417;3.686292201146111E7;79;21
418;3.686292201146111E7;79;21
419;3.686292201146111E7;79;21
420;3.686292201146111E7;79;21
421;3.686292201146111E7;79;21
422;3.686292201146111E7;79;21
423;3.686292201146111E7;79;21
424;3.686292201146111E7;79;21
425;3.686292201146111E7;79;21
426;3.686292201146111E7;79;21
427;3.686292201146111E7;79;21
428;3.686292201146111E7;79;21
429;3.686292201146111E7;79;21
430;3.686292201146111E7;79;21
431;3.686292201146111E7;79;21
432;3.686292201146111E7;79;21
433;3.686292201146111E7;79;21
434;3.686292201146111E7;79;21
435;3.686292201146111E7;79;21
436;3.686292201146111E7;79;21
437;3.686292201146111E7;79;21
438;3.686292201146111E7;79;21
439;3.686292201146111E7;79;21
