*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten; Fahrzeuge; Ladestationen
0;5.2612355987399995E7;79;42
0;4.2112355987399995E7;79;42
1;4.2112355987399995E7;79;42
2;4.2112355987399995E7;79;42
3;4.2112355987399995E7;79;42
4;4.2112355987399995E7;79;42
5;4.2112355987399995E7;79;42
6;4.2112355987399995E7;79;42
7;4.2112355987399995E7;79;42
8;4.186241138120555E7;79;41
9;4.161242000616111E7;79;40
10;4.161242000616111E7;79;40
11;4.161242000616111E7;79;40
12;4.161242000616111E7;79;40
13;4.161242000616111E7;79;40
14;4.136244136318889E7;79;39
15;4.1112441363188885E7;79;38
16;4.1112441363188885E7;79;38
17;4.086246407122222E7;79;37
18;4.086246407122222E7;79;37
19;4.086246407122222E7;79;37
20;4.086246407122222E7;79;37
21;4.086246407122222E7;79;37
22;4.086246407122222E7;79;37
23;4.086246407122222E7;79;37
24;4.0612508068855554E7;79;36
25;4.061250265428889E7;79;36
26;4.03625007284E7;79;35
27;4.03625007284E7;79;35
28;4.011250162760556E7;79;34
29;4.011250162760556E7;79;34
30;4.011250162760556E7;79;34
31;4.011250162760556E7;79;34
32;4.011250162760556E7;79;34
33;4.011250162760556E7;79;34
34;4.011250162760556E7;79;34
35;4.011250162760556E7;79;34
36;4.011250162760556E7;79;34
37;4.011250162760556E7;79;34
38;4.011250162760556E7;79;34
39;4.011250162760556E7;79;34
40;4.011250162760556E7;79;34
41;3.986256367993889E7;79;33
42;3.986256367993889E7;79;33
43;3.986256367993889E7;79;33
44;3.986256367993889E7;79;33
45;3.986256367993889E7;79;33
46;3.986256367993889E7;79;33
47;3.961258308732778E7;79;32
48;3.961258308732778E7;79;32
49;3.961258308732778E7;79;32
50;3.961258308732778E7;79;32
51;3.961258308732778E7;79;32
52;3.961258308732778E7;79;32
53;3.961258308732778E7;79;32
54;3.936258969301112E7;79;31
55;3.936258969301112E7;79;31
56;3.936258969301112E7;79;31
57;3.936258969301112E7;79;31
58;3.936258969301112E7;79;31
59;3.936258969301112E7;79;31
60;3.936258969301112E7;79;31
61;3.936258969301112E7;79;31
62;3.936258969301112E7;79;31
63;3.936258969301112E7;79;31
64;3.936258969301112E7;79;31
65;3.936258969301112E7;79;31
66;3.936258969301112E7;79;31
67;3.936258969301112E7;79;31
68;3.936258969301112E7;79;31
69;3.936258969301112E7;79;31
70;3.936258969301112E7;79;31
71;3.936258969301112E7;79;31
72;3.936258969301112E7;79;31
73;3.936258969301112E7;79;31
74;3.936258969301112E7;79;31
75;3.936258969301112E7;79;31
76;3.9112683766388886E7;79;30
77;3.9112683766388886E7;79;30
78;3.9112683766388886E7;79;30
79;3.9112683766388886E7;79;30
80;3.9112683766388886E7;79;30
81;3.9112683766388886E7;79;30
82;3.9112683766388886E7;79;30
83;3.9112683766388886E7;79;30
84;3.9112683766388886E7;79;30
85;3.9112683766388886E7;79;30
86;3.9112683766388886E7;79;30
87;3.9112683766388886E7;79;30
88;3.9112683766388886E7;79;30
89;3.9112683766388886E7;79;30
90;3.9112683766388886E7;79;30
91;3.9112683766388886E7;79;30
92;3.9112683766388886E7;79;30
93;3.9112683766388886E7;79;30
94;3.9112683766388886E7;79;30
95;3.9112683766388886E7;79;30
96;3.9112683766388886E7;79;30
97;3.886273906689444E7;79;29
98;3.886273906689444E7;79;29
99;3.886273906689444E7;79;29
100;3.886273906689444E7;79;29
101;3.886273906689444E7;79;29
102;3.886273906689444E7;79;29
103;3.886273906689444E7;79;29
104;3.886273759249444E7;79;29
105;3.8862730091294445E7;79;29
106;3.8862730091294445E7;79;29
107;3.861272922827778E7;79;28
108;3.861272922827778E7;79;28
109;3.861272922827778E7;79;28
110;3.861272922827778E7;79;28
111;3.861272922827778E7;79;28
112;3.861272922827778E7;79;28
113;3.861272922827778E7;79;28
114;3.861272922827778E7;79;28
115;3.861272922827778E7;79;28
116;3.861272922827778E7;79;28
117;3.861272922827778E7;79;28
118;3.861272922827778E7;79;28
119;3.861272922827778E7;79;28
120;3.861272922827778E7;79;28
121;3.861272922827778E7;79;28
122;3.861272922827778E7;79;28
123;3.861272922827778E7;79;28
124;3.861272922827778E7;79;28
125;3.861272922827778E7;79;28
126;3.861272922827778E7;79;28
127;3.861272922827778E7;79;28
128;3.861272922827778E7;79;28
129;3.861272922827778E7;79;28
130;3.861272922827778E7;79;28
131;3.861272922827778E7;79;28
132;3.861272922827778E7;79;28
133;3.861272922827778E7;79;28
134;3.861272922827778E7;79;28
135;3.861272922827778E7;79;28
136;3.861272922827778E7;79;28
137;3.861272922827778E7;79;28
138;3.861272922827778E7;79;28
139;3.861272922827778E7;79;28
140;3.861272922827778E7;79;28
141;3.861272922827778E7;79;28
142;3.861272922827778E7;79;28
143;3.861272922827778E7;79;28
144;3.861272922827778E7;79;28
145;3.861272922827778E7;79;28
146;3.861272922827778E7;79;28
147;3.861272922827778E7;79;28
148;3.861272922827778E7;79;28
149;3.861272922827778E7;79;28
150;3.861272922827778E7;79;28
151;3.861272922827778E7;79;28
152;3.861272922827778E7;79;28
153;3.861272922827778E7;79;28
154;3.8362808011816666E7;79;27
155;3.8362808011816666E7;79;27
156;3.8362808011816666E7;79;27
157;3.836280163611111E7;79;27
158;3.836280163611111E7;79;27
159;3.836280163611111E7;79;27
160;3.8362801054977775E7;79;27
161;3.8362801054977775E7;79;27
162;3.8362801054977775E7;79;27
163;3.8362801054977775E7;79;27
164;3.8362801054977775E7;79;27
165;3.8362801054977775E7;79;27
166;3.8362801054977775E7;79;27
167;3.8362801054977775E7;79;27
168;3.8362801054977775E7;79;27
169;3.8362801054977775E7;79;27
170;3.8362801054977775E7;79;27
171;3.8362801054977775E7;79;27
172;3.8362801054977775E7;79;27
173;3.8362801054977775E7;79;27
174;3.8362801054977775E7;79;27
175;3.8362801054977775E7;79;27
176;3.8362801054977775E7;79;27
177;3.8362801054977775E7;79;27
178;3.811284626918889E7;79;26
179;3.811284626918889E7;79;26
180;3.811284626918889E7;79;26
181;3.811284626918889E7;79;26
182;3.811284626918889E7;79;26
183;3.811284626918889E7;79;26
184;3.811284626918889E7;79;26
185;3.811284626918889E7;79;26
186;3.811284626918889E7;79;26
187;3.811284626918889E7;79;26
188;3.811284626918889E7;79;26
189;3.811284626918889E7;79;26
190;3.811284626918889E7;79;26
191;3.811284626918889E7;79;26
192;3.811284626918889E7;79;26
193;3.811284626918889E7;79;26
194;3.811284626918889E7;79;26
195;3.811284626918889E7;79;26
196;3.811284626918889E7;79;26
197;3.811284626918889E7;79;26
198;3.811284626918889E7;79;26
199;3.811284626918889E7;79;26
200;3.811284626918889E7;79;26
201;3.786290319636111E7;79;25
202;3.786290171233334E7;79;25
203;3.786289036173889E7;79;25
204;3.786289036173889E7;79;25
205;3.786288816195E7;79;25
206;3.786288816195E7;79;25
207;3.786288816195E7;79;25
208;3.786288816195E7;79;25
209;3.786288816195E7;79;25
210;3.786288816195E7;79;25
211;3.786288816195E7;79;25
212;3.786288816195E7;79;25
213;3.786288816195E7;79;25
214;3.786288816195E7;79;25
215;3.786288816195E7;79;25
216;3.786288816195E7;79;25
217;3.786288816195E7;79;25
218;3.786288816195E7;79;25
219;3.786288816195E7;79;25
220;3.786288816195E7;79;25
221;3.786288816195E7;79;25
222;3.786288816195E7;79;25
223;3.786288816195E7;79;25
224;3.786288816195E7;79;25
225;3.786288816195E7;79;25
226;3.786288816195E7;79;25
227;3.786288816195E7;79;25
228;3.786288816195E7;79;25
229;3.786288816195E7;79;25
230;3.786288816195E7;79;25
231;3.786288816195E7;79;25
232;3.786288816195E7;79;25
233;3.786288816195E7;79;25
234;3.786288816195E7;79;25
235;3.786288816195E7;79;25
236;3.786288816195E7;79;25
237;3.786288816195E7;79;25
238;3.786288816195E7;79;25
239;3.786288816195E7;79;25
240;3.786288816195E7;79;25
241;3.786288816195E7;79;25
242;3.786288816195E7;79;25
243;3.786288816195E7;79;25
244;3.786288816195E7;79;25
245;3.7612970400755554E7;79;24
246;3.761296428235556E7;79;24
247;3.7612961961116664E7;79;24
248;3.761293483900556E7;79;24
249;3.761293483900556E7;79;24
250;3.761293366613333E7;79;24
251;3.7612928954622224E7;79;24
252;3.7612928954622224E7;79;24
253;3.7612928954622224E7;79;24
254;3.7612928954622224E7;79;24
255;3.7612928954622224E7;79;24
256;3.7612928954622224E7;79;24
257;3.7612928954622224E7;79;24
258;3.7612928954622224E7;79;24
259;3.7612928954622224E7;79;24
260;3.7612928954622224E7;79;24
261;3.7612928954622224E7;79;24
262;3.7612928954622224E7;79;24
263;3.7612928954622224E7;79;24
264;3.7612928954622224E7;79;24
265;3.736296758720556E7;79;23
266;3.736296758720556E7;79;23
267;3.736296758720556E7;79;23
268;3.7362964020394444E7;79;23
269;3.7362964020394444E7;79;23
270;3.7362964020394444E7;79;23
271;3.7362964020394444E7;79;23
272;3.7362964020394444E7;79;23
273;3.7362964020394444E7;79;23
274;3.7362964020394444E7;79;23
275;3.7362964020394444E7;79;23
276;3.7362964020394444E7;79;23
277;3.7362964020394444E7;79;23
278;3.7362964020394444E7;79;23
279;3.7362964020394444E7;79;23
280;3.7362964020394444E7;79;23
281;3.7362964020394444E7;79;23
282;3.7362964020394444E7;79;23
283;3.7362964020394444E7;79;23
284;3.7362964020394444E7;79;23
285;3.7362964020394444E7;79;23
286;3.7362964020394444E7;79;23
287;3.7362964020394444E7;79;23
288;3.7362964020394444E7;79;23
289;3.7362964020394444E7;79;23
290;3.736295578492223E7;79;23
291;3.736295578492223E7;79;23
292;3.736295578492223E7;79;23
293;3.736295578492223E7;79;23
294;3.736295578492223E7;79;23
295;3.736295578492223E7;79;23
296;3.736295578492223E7;79;23
297;3.736295578492223E7;79;23
298;3.736295578492223E7;79;23
299;3.736295578492223E7;79;23
300;3.736294498732778E7;79;23
301;3.736294498732778E7;79;23
302;3.736294498732778E7;79;23
303;3.736294498732778E7;79;23
304;3.736294498732778E7;79;23
305;3.736294498732778E7;79;23
306;3.736294498732778E7;79;23
307;3.736294498732778E7;79;23
308;3.736294498732778E7;79;23
309;3.736294498732778E7;79;23
310;3.736294498732778E7;79;23
311;3.736294498732778E7;79;23
312;3.736294498732778E7;79;23
313;3.736294498732778E7;79;23
314;3.736294498732778E7;79;23
315;3.736294498732778E7;79;23
316;3.736294498732778E7;79;23
317;3.736294498732778E7;79;23
318;3.736294498732778E7;79;23
319;3.736294498732778E7;79;23
320;3.736294498732778E7;79;23
321;3.736294498732778E7;79;23
322;3.736294498732778E7;79;23
323;3.736294498732778E7;79;23
324;3.736294498732778E7;79;23
325;3.736294498732778E7;79;23
326;3.736294498732778E7;79;23
327;3.736294498732778E7;79;23
328;3.736294498732778E7;79;23
329;3.736294498732778E7;79;23
330;3.736294498732778E7;79;23
331;3.736294498732778E7;79;23
332;3.736294498732778E7;79;23
333;3.736294498732778E7;79;23
334;3.736294498732778E7;79;23
335;3.736294498732778E7;79;23
336;3.736294498732778E7;79;23
337;3.736294498732778E7;79;23
338;3.736294498732778E7;79;23
339;3.736294498732778E7;79;23
340;3.736294498732778E7;79;23
341;3.736294498732778E7;79;23
342;3.711298863960555E7;79;22
343;3.711298805894445E7;79;22
344;3.711298377136666E7;79;22
345;3.7112976052666664E7;79;22
346;3.711297268745556E7;79;22
347;3.7112968403400004E7;79;22
348;3.7112968403400004E7;79;22
349;3.7112968403400004E7;79;22
350;3.7112968403400004E7;79;22
351;3.7112968403400004E7;79;22
352;3.7112968403400004E7;79;22
353;3.7112968403400004E7;79;22
354;3.7112968403400004E7;79;22
355;3.711296696729445E7;79;22
356;3.711295937267778E7;79;22
357;3.711295937267778E7;79;22
358;3.711295937267778E7;79;22
359;3.711295937267778E7;79;22
360;3.711295937267778E7;79;22
361;3.711295937267778E7;79;22
362;3.711295937267778E7;79;22
363;3.711295937267778E7;79;22
364;3.711295937267778E7;79;22
365;3.711295937267778E7;79;22
366;3.711295937267778E7;79;22
367;3.711295937267778E7;79;22
368;3.711295937267778E7;79;22
369;3.711295937267778E7;79;22
370;3.711295937267778E7;79;22
371;3.711295937267778E7;79;22
372;3.711295937267778E7;79;22
373;3.711295937267778E7;79;22
374;3.711295937267778E7;79;22
375;3.711295937267778E7;79;22
376;3.711295937267778E7;79;22
377;3.711295937267778E7;79;22
378;3.711295937267778E7;79;22
379;3.711295937267778E7;79;22
380;3.711295937267778E7;79;22
381;3.711295937267778E7;79;22
382;3.711295937267778E7;79;22
383;3.711295937267778E7;79;22
384;3.711295937267778E7;79;22
385;3.711295937267778E7;79;22
386;3.711295937267778E7;79;22
387;3.711295937267778E7;79;22
388;3.711295937267778E7;79;22
389;3.711295937267778E7;79;22
390;3.711295937267778E7;79;22
391;3.711295937267778E7;79;22
392;3.711295937267778E7;79;22
393;3.711295937267778E7;79;22
394;3.711295937267778E7;79;22
395;3.711295937267778E7;79;22
396;3.711295937267778E7;79;22
397;3.711295937267778E7;79;22
398;3.711295937267778E7;79;22
399;3.711295937267778E7;79;22
400;3.711295937267778E7;79;22
401;3.711295937267778E7;79;22
402;3.711295937267778E7;79;22
403;3.711295937267778E7;79;22
404;3.711295937267778E7;79;22
405;3.711295937267778E7;79;22
406;3.711295937267778E7;79;22
407;3.711295937267778E7;79;22
408;3.711295937267778E7;79;22
409;3.711295937267778E7;79;22
410;3.711295937267778E7;79;22
411;3.711295937267778E7;79;22
412;3.711295937267778E7;79;22
413;3.711295937267778E7;79;22
414;3.711295937267778E7;79;22
415;3.711295937267778E7;79;22
416;3.711295937267778E7;79;22
417;3.711295937267778E7;79;22
418;3.711295937267778E7;79;22
419;3.711295937267778E7;79;22
420;3.711295937267778E7;79;22
421;3.711295937267778E7;79;22
422;3.711295937267778E7;79;22
423;3.711295937267778E7;79;22
424;3.711295937267778E7;79;22
425;3.711295937267778E7;79;22
426;3.711295937267778E7;79;22
427;3.711295937267778E7;79;22
428;3.711295937267778E7;79;22
429;3.711295937267778E7;79;22
430;3.711295937267778E7;79;22
431;3.711295937267778E7;79;22
432;3.711295937267778E7;79;22
433;3.711295937267778E7;79;22
434;3.711295937267778E7;79;22
435;3.711295937267778E7;79;22
436;3.711295937267778E7;79;22
437;3.711295937267778E7;79;22
438;3.711295937267778E7;79;22
439;3.711295937267778E7;79;22
440;3.711295937267778E7;79;22
441;3.711295937267778E7;79;22
442;3.711295937267778E7;79;22
443;3.711295937267778E7;79;22
444;3.711295937267778E7;79;22
445;3.711295937267778E7;79;22
446;3.711295937267778E7;79;22
