*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten
0;4.2112355987399995E7
1;4.186236224380556E7
2;4.1862354259566665E7
3;4.186234788208333E7
4;4.186234788208333E7
5;4.186234788208333E7
6;4.161236721415E7
7;4.161236721415E7
8;4.161236721415E7
9;4.161236721415E7
10;4.161236721415E7
11;4.161236721415E7
12;4.136241174437222E7
13;4.136241174437222E7
14;4.111243977043889E7
15;4.111243977043889E7
16;4.111243977043889E7
17;4.111243977043889E7
18;4.111243977043889E7
19;4.111243977043889E7
20;4.111243977043889E7
21;4.0862485343094446E7
22;4.0862485343094446E7
23;4.0862485343094446E7
24;4.0862485343094446E7
25;4.0862485343094446E7
26;4.0862485343094446E7
27;4.0862485343094446E7
28;4.0862485343094446E7
29;4.061252731218889E7
30;4.036253382306111E7
31;4.036253006076667E7
32;4.036253006076667E7
33;4.036253006076667E7
34;4.036253006076667E7
35;4.036253006076667E7
36;4.036253006076667E7
37;4.036253006076667E7
38;4.036253006076667E7
39;4.036253006076667E7
40;4.036253006076667E7
41;4.036253006076667E7
42;4.036253006076667E7
43;4.0112560021633334E7
44;4.011255911856666E7
45;4.011255911856666E7
46;4.011255911856666E7
47;3.986256874693333E7
48;3.9862564459355555E7
49;3.986256265508333E7
50;3.986256265508333E7
51;3.986256265508333E7
52;3.986256265508333E7
53;3.986256265508333E7
54;3.986256265508333E7
55;3.986256265508333E7
56;3.986256265508333E7
57;3.986256265508333E7
58;3.986256265508333E7
59;3.986256265508333E7
60;3.986256265508333E7
61;3.986256265508333E7
62;3.986256265508333E7
63;3.986256265508333E7
64;3.986256265508333E7
65;3.986256265508333E7
66;3.961261124648333E7
67;3.936261494995E7
68;3.936260666324444E7
69;3.936260666324444E7
70;3.936260666324444E7
71;3.936260666324444E7
72;3.911261789862777E7
73;3.911261789862777E7
74;3.911261267453889E7
75;3.911261267048889E7
76;3.911261267048889E7
77;3.886262702726111E7
78;3.886262702726111E7
79;3.886262702726111E7
80;3.886262702726111E7
81;3.886262702726111E7
82;3.886262702726111E7
83;3.886262702726111E7
84;3.861265313533333E7
85;3.861265313533333E7
86;3.861265313533333E7
87;3.861265313533333E7
88;3.861265313533333E7
89;3.861265313533333E7
90;3.861265313533333E7
91;3.861265313533333E7
92;3.861265313533333E7
93;3.861265313533333E7
94;3.861265313533333E7
95;3.861265313533333E7
96;3.861265313533333E7
97;3.861265313533333E7
98;3.861265313533333E7
99;3.861265313533333E7
100;3.861265313533333E7
101;3.861265313533333E7
102;3.861265313533333E7
103;3.836272453921667E7
104;3.836272453921667E7
105;3.836272453921667E7
106;3.836272453921667E7
107;3.836272453921667E7
108;3.836272453921667E7
109;3.836272453921667E7
110;3.836272453921667E7
111;3.836272453921667E7
112;3.836272453921667E7
113;3.836272453921667E7
114;3.836272453921667E7
115;3.836272453921667E7
116;3.836272453921667E7
117;3.836272453921667E7
118;3.836272453921667E7
119;3.836272453921667E7
120;3.836272453921667E7
121;3.836272453921667E7
122;3.836272453921667E7
123;3.836272453921667E7
124;3.836272453921667E7
125;3.836272453921667E7
126;3.836272453921667E7
127;3.836272453921667E7
128;3.836272453921667E7
129;3.836272453921667E7
130;3.836272453921667E7
131;3.811279560182778E7
132;3.8112794020333335E7
133;3.8112794020333335E7
134;3.8112794020333335E7
135;3.8112794020333335E7
136;3.8112794020333335E7
137;3.8112794020333335E7
138;3.8112794020333335E7
139;3.8112794020333335E7
140;3.8112794020333335E7
141;3.8112794020333335E7
142;3.8112794020333335E7
143;3.8112791511827774E7
144;3.811279031436667E7
145;3.8112776138333336E7
146;3.8112776138333336E7
147;3.8112776138333336E7
148;3.8112776138333336E7
149;3.8112776138333336E7
150;3.8112776138333336E7
151;3.8112776138333336E7
152;3.8112776138333336E7
153;3.8112776138333336E7
154;3.8112776138333336E7
155;3.8112776138333336E7
156;3.8112776138333336E7
157;3.8112776138333336E7
158;3.8112776138333336E7
159;3.8112776138333336E7
160;3.8112776138333336E7
161;3.8112776138333336E7
162;3.786283050867778E7
163;3.786282388522778E7
164;3.786282388522778E7
165;3.786282133364445E7
166;3.786282133364445E7
167;3.786282058705556E7
168;3.786281789325E7
169;3.786281789325E7
170;3.786281789325E7
171;3.786281789325E7
172;3.786281789325E7
173;3.786281789325E7
174;3.786281789325E7
175;3.786281789325E7
176;3.786281789325E7
177;3.786281789325E7
178;3.786281789325E7
179;3.786281789325E7
180;3.786281789325E7
181;3.786281789325E7
182;3.786281789325E7
183;3.786281789325E7
184;3.786281789325E7
185;3.786281789325E7
186;3.786281789325E7
187;3.786281789325E7
188;3.786281789325E7
189;3.786281789325E7
190;3.786281789325E7
191;3.786281789325E7
192;3.786281789325E7
193;3.786281789325E7
194;3.786281789325E7
195;3.786281789325E7
196;3.786281789325E7
197;3.786281789325E7
198;3.786281789325E7
199;3.786281789325E7
200;3.786281789325E7
201;3.786281789325E7
202;3.786281789325E7
203;3.786281789325E7
204;3.786281789325E7
205;3.786281789325E7
206;3.786281789325E7
207;3.786281789325E7
208;3.786281789325E7
209;3.786281789325E7
210;3.786281789325E7
211;3.786281789325E7
212;3.786281789325E7
213;3.786281789325E7
214;3.786281789325E7
215;3.786281789325E7
216;3.786281789325E7
217;3.786281789325E7
218;3.786281789325E7
219;3.786281789325E7
220;3.786281789325E7
221;3.786281789325E7
222;3.786281789325E7
223;3.786281789325E7
224;3.786281789325E7
225;3.786281789325E7
226;3.786281789325E7
227;3.786281789325E7
228;3.786281789325E7
229;3.761291506855E7
230;3.736291568593333E7
231;3.736291568593333E7
232;3.711292293684444E7
233;3.711291827731111E7
234;3.711291605231111E7
235;3.7112913043977775E7
236;3.7112913043977775E7
237;3.7112913043977775E7
238;3.7112913043977775E7
239;3.7112913043977775E7
240;3.7112913043977775E7
241;3.7112913043977775E7
242;3.7112913043977775E7
243;3.7112913043977775E7
244;3.7112913043977775E7
245;3.7112913043977775E7
246;3.7112913043977775E7
247;3.7112913043977775E7
248;3.7112913043977775E7
249;3.7112913043977775E7
250;3.7112913043977775E7
251;3.7112913043977775E7
252;3.711290787495556E7
253;3.7112903231694445E7
254;3.7112903231694445E7
255;3.7112903231694445E7
256;3.7112903231694445E7
257;3.7112903231694445E7
258;3.7112903231694445E7
259;3.7112903231694445E7
260;3.7112903231694445E7
261;3.7112903231694445E7
262;3.7112903231694445E7
263;3.7112903231694445E7
264;3.7112903231694445E7
265;3.7112903231694445E7
266;3.68629166629E7
267;3.68629166629E7
268;3.68629166629E7
269;3.686291557863889E7
