*
* Ladesystemtypen
*
$CHARGINGSYSTEM:ID;Name
0;Plugin
1;Panthograph/Overhead
2;Battery Change
3;Induction
*
* Haltestellen
*
* List was extended and new attribute values were randomized using 'extendStopPointTable.py'
*
* ChargingSystem
*   -1 		= none
*   INT		= see above in CHARGINGSYSTEM
*
* FastChargingCapability
*    0 		= stop is not capable to fast charge
*    1 		= stop is capable to fast charge
*
* Haltestellen;;;;;;;;;;
*;;;;;;;;;;
$STOPPOINT:ID;Code;Name;VehCapacityForCharging
08890;08890;08890;1000
08886;08886;08886;1000
08880;08880;08880;1000
08884;08884;08884;1000
08885;08885;08885;1000
08812;08812;08812;1000
08888;08888;08888;1000
08889;08889;08889;1000
08357;08357;08357;1000
08881;08881;08881;1000
09698;09698;09698;1000
08399;08399;08399;1000
08444;08444;08444;1000
08882;08882;08882;1000
08883;08883;08883;1000
09290;09290;09290;1000
08361;08361;08361;1000
08631;08631;08631;1000
08951;08951;08951;1000
08271;08271;08271;1000
08355;08355;08355;1000
09110;09110;09110;1000
08632;08632;08632;1000
08569;08569;08569;1000
09362;09362;09362;1000
08354;08354;08354;1000
08564;08564;08564;1000
08562;08562;08562;1000
08272;08272;08272;1000
08319;08319;08319;1000
08646;08646;08646;1000
08429;08429;08429;1000
08875;08875;08875;1000
08913;08913;08913;1000
08378;08378;08378;1000
08887;08887;08887;1000
09140;09140;09140;1000
08241;08241;08241;1000
08320;08320;08320;1000
08844;08844;08844;1000
08954;08954;08954;1000
08386;08386;08386;1000
09104;09104;09104;1000
08260;08260;08260;1000
08385;08385;08385;1000
08603;08603;08603;1000
08747;08747;08747;1000
08916;08916;08916;1000
08867;08867;08867;1000
08206;08206;08206;1000
08458;08458;08458;1000
08459;08459;08459;1000
08524;08524;08524;1000
08568;08568;08568;1000
08826;08826;08826;1000
09375;09375;09375;1000
09189;09189;09189;1000
09190;09190;09190;1000
08865;08865;08865;1000
09085;09085;09085;1000
08390;08390;08390;1000
08521;08521;08521;1000
08624;08624;08624;1000
08623;08623;08623;1000
08641;08641;08641;1000
08726;08726;08726;1000
09203;09203;09203;1000
09024;09024;09024;1000
09025;09025;09025;1000
08922;08922;08922;1000
09064;09064;09064;1000
09144;09144;09144;1000
09700;09700;09700;1000
08264;08264;08264;1000
08208;08208;08208;1000
08358;08358;08358;1000
08353;08353;08353;1000
08479;08479;08479;1000
08570;08570;08570;1000
08698;08698;08698;1000
08736;08736;08736;1000
08992;08992;08992;1000
09003;09003;09003;1000
08872;08872;08872;1000
08953;08953;08953;1000
09683;09683;09683;1000
09701;09701;09701;1000
08211;08211;08211;1000
08296;08296;08296;1000
08309;08309;08309;1000
08332;08332;08332;1000
08323;08323;08323;1000
08356;08356;08356;1000
08362;08362;08362;1000
08387;08387;08387;1000
08392;08392;08392;1000
09222;09222;09222;1000
08507;08507;08507;1000
08533;08533;08533;1000
08613;08613;08613;1000
08642;08642;08642;1000
08647;08647;08647;1000
08648;08648;08648;1000
08659;08659;08659;1000
08652;08652;08652;1000
08657;08657;08657;1000
08658;08658;08658;1000
08675;08675;08675;1000
09705;09705;09705;1000
09704;09704;09704;1000
08774;08774;08774;1000
09708;09708;09708;1000
08993;08993;08993;1000
09004;09004;09004;1000
09018;09018;09018;1000
08866;08866;08866;1000
09048;09048;09048;1000
09057;09057;09057;1000
09129;09129;09129;1000
09132;09132;09132;1000
09090;09090;09090;1000
09289;09289;09289;1000
08212;08212;08212;1000
09223;09223;09223;1000
08218;08218;08218;1000
09216;09216;09216;1000
08259;08259;08259;1000
08265;08265;08265;1000
08207;08207;08207;1000
09380;09380;09380;1000
08333;08333;08333;1000
08336;08336;08336;1000
08334;08334;08334;1000
08313;08313;08313;1000
09220;09220;09220;1000
09305;09305;09305;1000
08393;08393;08393;1000
08391;08391;08391;1000
08395;08395;08395;1000
08396;08396;08396;1000
08422;08422;08422;1000
08450;08450;08450;1000
08453;08453;08453;1000
