*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten
0;4.2112355987399995E7
1;4.18623710661E7
2;4.186236498583889E7
3;4.1862364969844446E7
4;4.1862364969844446E7
5;4.1862364969844446E7
6;4.1862364969844446E7
7;4.1862364969844446E7
8;4.1862364969844446E7
9;4.1862364969844446E7
10;4.1862364969844446E7
11;4.161241043638889E7
12;4.161240862726111E7
13;4.161240862726111E7
14;4.161240862726111E7
15;4.161240862726111E7
16;4.161240862726111E7
17;4.161240862726111E7
18;4.161240862726111E7
19;4.161240862726111E7
20;4.136247920931666E7
21;4.136247852585E7
22;4.1362472452E7
23;4.1112480461050004E7
24;4.0862495797244444E7
25;4.0862495797244444E7
26;4.0862495797244444E7
27;4.0862495797244444E7
28;4.0862495797244444E7
29;4.0862495797244444E7
30;4.061252655213334E7
31;4.061252655213334E7
32;4.036252520859445E7
33;4.036252520859445E7
34;4.036252520859445E7
35;4.036252520859445E7
36;4.036252520859445E7
37;4.036252520859445E7
38;4.036252520859445E7
39;3.986257243083889E7
40;3.986257243083889E7
41;3.986257243083889E7
42;3.961258933105555E7
43;3.961258933105555E7
44;3.961258933105555E7
45;3.961258933105555E7
46;3.961258933105555E7
47;3.961258933105555E7
48;3.961258933105555E7
49;3.961258933105555E7
50;3.961258933105555E7
51;3.961258933105555E7
52;3.961258933105555E7
53;3.961258933105555E7
54;3.961258933105555E7
55;3.961258933105555E7
56;3.961258933105555E7
57;3.961258933105555E7
58;3.961258933105555E7
59;3.961258933105555E7
60;3.961258933105555E7
61;3.961258933105555E7
62;3.961258933105555E7
63;3.961258933105555E7
64;3.961258933105555E7
65;3.961258933105555E7
66;3.961258933105555E7
67;3.961258933105555E7
68;3.961258933105555E7
69;3.961258933105555E7
70;3.961258933105555E7
71;3.961258933105555E7
72;3.961258933105555E7
73;3.961258933105555E7
74;3.961258933105555E7
75;3.961258933105555E7
76;3.961258933105555E7
77;3.961258933105555E7
78;3.961258933105555E7
79;3.961258933105555E7
80;3.961258933105555E7
81;3.961258933105555E7
82;3.961258933105555E7
83;3.961258933105555E7
84;3.961258933105555E7
85;3.961258933105555E7
86;3.961258933105555E7
87;3.961258933105555E7
88;3.961258933105555E7
89;3.961258933105555E7
90;3.961258933105555E7
91;3.961258933105555E7
92;3.961258933105555E7
93;3.961258933105555E7
94;3.961258933105555E7
95;3.961258933105555E7
96;3.961258933105555E7
97;3.961258933105555E7
98;3.961258933105555E7
99;3.961258933105555E7
100;3.961258933105555E7
101;3.961258933105555E7
102;3.961258933105555E7
103;3.961258933105555E7
104;3.961258933105555E7
105;3.936276370727222E7
106;3.9112769488861114E7
107;3.9112769488861114E7
108;3.9112769488861114E7
109;3.9112769488861114E7
110;3.9112769488861114E7
111;3.9112769488861114E7
112;3.9112769488861114E7
113;3.9112769488861114E7
114;3.8862786531561114E7
115;3.8862786531561114E7
116;3.8862786531561114E7
117;3.8862786531561114E7
118;3.8862786531561114E7
119;3.8862786531561114E7
120;3.8862786531561114E7
121;3.8862786531561114E7
122;3.8862786531561114E7
123;3.8862786531561114E7
124;3.8862786531561114E7
125;3.8862786531561114E7
126;3.8862786531561114E7
127;3.8862786531561114E7
128;3.8862786531561114E7
129;3.8862786531561114E7
130;3.8862786531561114E7
131;3.8862786531561114E7
132;3.8862786531561114E7
133;3.86128656521E7
134;3.86128656521E7
135;3.86128656521E7
136;3.86128656521E7
137;3.86128656521E7
138;3.86128656521E7
139;3.86128656521E7
140;3.86128656521E7
141;3.86128656521E7
142;3.861286424503333E7
143;3.861286424503333E7
144;3.861286424503333E7
145;3.861286424503333E7
146;3.861286424503333E7
147;3.861286424503333E7
148;3.836289643689445E7
149;3.836288896352778E7
150;3.836288896352778E7
151;3.836288896352778E7
152;3.836288896352778E7
153;3.836288896352778E7
154;3.836288896352778E7
155;3.836288896352778E7
156;3.836288896352778E7
157;3.836288896352778E7
158;3.836288896352778E7
159;3.836288896352778E7
160;3.836288896352778E7
161;3.836288613697778E7
162;3.836288613697778E7
163;3.836288613697778E7
164;3.836288613697778E7
165;3.836288613697778E7
166;3.836288613697778E7
167;3.836288613697778E7
168;3.836288613697778E7
169;3.836288439755E7
170;3.8362866553005554E7
171;3.836286463155E7
172;3.836286463155E7
173;3.836286463155E7
174;3.836286463155E7
175;3.836286463155E7
176;3.836286463155E7
177;3.836286463155E7
178;3.836286463155E7
179;3.836286463155E7
180;3.836286463155E7
181;3.836286463155E7
182;3.836286463155E7
183;3.836286463155E7
184;3.836286463155E7
185;3.836286463155E7
186;3.836286463155E7
187;3.836286463155E7
188;3.836286463155E7
189;3.8112895003916666E7
190;3.8112895003916666E7
191;3.8112895003916666E7
192;3.8112895003916666E7
193;3.8112895003916666E7
194;3.786290290053889E7
195;3.786290056468889E7
196;3.786290056468889E7
197;3.786288684792778E7
198;3.78628856496E7
199;3.7862880161416665E7
200;3.7862880161416665E7
201;3.7862880161416665E7
202;3.7862880161416665E7
203;3.7862880161416665E7
204;3.7862880161416665E7
205;3.7862880161416665E7
206;3.7862880161416665E7
207;3.7862880161416665E7
208;3.786287686323333E7
209;3.786287686323333E7
210;3.786287686323333E7
211;3.786287134867778E7
212;3.786287134867778E7
213;3.786287134867778E7
214;3.786287134867778E7
215;3.786287134867778E7
216;3.786287134867778E7
217;3.786287134867778E7
218;3.786287134867778E7
219;3.786287134867778E7
220;3.786287134867778E7
221;3.786287134867778E7
222;3.786287134867778E7
223;3.786287134867778E7
224;3.786287134867778E7
225;3.786287134867778E7
226;3.786287134867778E7
227;3.786287134867778E7
228;3.786287134867778E7
229;3.786287134867778E7
230;3.786287134867778E7
231;3.786287134867778E7
232;3.786287134867778E7
233;3.786287134867778E7
234;3.786287134867778E7
235;3.786287134867778E7
236;3.786287134867778E7
237;3.786287134867778E7
238;3.786287134867778E7
239;3.786287134867778E7
240;3.786287134867778E7
241;3.786287134867778E7
242;3.786287134867778E7
243;3.786287134867778E7
244;3.786287134867778E7
245;3.761292776495556E7
246;3.761292742547222E7
247;3.761292504803889E7
248;3.761292504803889E7
249;3.761292504803889E7
250;3.761292504803889E7
251;3.761292092812222E7
252;3.761291481521667E7
253;3.761290716467778E7
254;3.761290391991667E7
255;3.761289654867778E7
256;3.761289654867778E7
257;3.761289654867778E7
258;3.761289654867778E7
259;3.761289654867778E7
260;3.761289654867778E7
261;3.761289654867778E7
262;3.761289654867778E7
263;3.761289654867778E7
264;3.761289654867778E7
265;3.761289654867778E7
266;3.761289654867778E7
267;3.761289654867778E7
268;3.761289654867778E7
269;3.761289654867778E7
270;3.761289654867778E7
271;3.761289654867778E7
272;3.761289654867778E7
273;3.761289654867778E7
274;3.761289654867778E7
275;3.761289654867778E7
276;3.761289654867778E7
277;3.761289654867778E7
278;3.761289654867778E7
279;3.761289654867778E7
280;3.761289654867778E7
281;3.761289654867778E7
282;3.761289654867778E7
283;3.761289654867778E7
284;3.761289654867778E7
285;3.761289654867778E7
286;3.7362940126322225E7
287;3.7362940126322225E7
288;3.7362940126322225E7
289;3.7362940126322225E7
290;3.7362940126322225E7
291;3.7362940126322225E7
292;3.7362940126322225E7
293;3.7362940126322225E7
294;3.7362940126322225E7
295;3.7362940126322225E7
296;3.7362940126322225E7
297;3.7362940126322225E7
298;3.7362940126322225E7
299;3.7362940126322225E7
300;3.7362940126322225E7
301;3.7362940126322225E7
302;3.7362940126322225E7
303;3.7362940126322225E7
304;3.7362940126322225E7
305;3.7362940126322225E7
306;3.7362940126322225E7
307;3.7362940126322225E7
308;3.7362940126322225E7
309;3.7362940126322225E7
310;3.7362940126322225E7
311;3.7362940126322225E7
312;3.7362940126322225E7
313;3.7362940126322225E7
314;3.711298397277222E7
315;3.711298397277222E7
316;3.711298397277222E7
317;3.711298397277222E7
318;3.711298397277222E7
319;3.711298397277222E7
320;3.711298397277222E7
321;3.711298397277222E7
322;3.711298397277222E7
323;3.711298397277222E7
324;3.711298397277222E7
325;3.711298397277222E7
326;3.711298397277222E7
327;3.6863023101955555E7
328;3.6863023101955555E7
329;3.686302006928333E7
330;3.686302006928333E7
331;3.686302006928333E7
332;3.686302006928333E7
333;3.686302006928333E7
334;3.686302006928333E7
335;3.686302006928333E7
336;3.686302006928333E7
337;3.686302006928333E7
338;3.686302006928333E7
339;3.686302006928333E7
340;3.686302006928333E7
341;3.686302006928333E7
342;3.686302006928333E7
343;3.686302006928333E7
344;3.686302006928333E7
345;3.686302006928333E7
346;3.686302006928333E7
347;3.686302006928333E7
348;3.686302006928333E7
349;3.686302006928333E7
350;3.686302006928333E7
351;3.686302006928333E7
352;3.686302006928333E7
353;3.686302006928333E7
354;3.686302006928333E7
355;3.686302006928333E7
356;3.686302006928333E7
357;3.686302006928333E7
358;3.686302006928333E7
359;3.686302006928333E7
360;3.686302006928333E7
361;3.686302006928333E7
362;3.686302006928333E7
363;3.686302006928333E7
364;3.686302006928333E7
365;3.686302006928333E7
366;3.686302006928333E7
367;3.686302006928333E7
368;3.686302006928333E7
369;3.686302006928333E7
370;3.686302006928333E7
371;3.686302006928333E7
372;3.686302006928333E7
373;3.686302006928333E7
374;3.686302006928333E7
375;3.686302006928333E7
376;3.686302006928333E7
377;3.686302006928333E7
378;3.686302006928333E7
379;3.686302006928333E7
380;3.686302006928333E7
381;3.686302006928333E7
382;3.686302006928333E7
383;3.686302006928333E7
384;3.686302006928333E7
385;3.686302006928333E7
386;3.686302006928333E7
387;3.686302006928333E7
388;3.686302006928333E7
389;3.686302006928333E7
390;3.686302006928333E7
391;3.686302006928333E7
392;3.686302006928333E7
393;3.686302006928333E7
394;3.686302006928333E7
395;3.686302006928333E7
396;3.686302006928333E7
397;3.686302006928333E7
398;3.686302006928333E7
399;3.686302006928333E7
400;3.686302006928333E7
401;3.661306246335E7
402;3.661306246335E7
403;3.661306246335E7
404;3.661306246335E7
405;3.661306246335E7
406;3.661306246335E7
407;3.661306246335E7
408;3.661306246335E7
409;3.661306246335E7
410;3.661306246335E7
411;3.661306246335E7
412;3.661306246335E7
413;3.661306246335E7
414;3.661305855748333E7
415;3.661304995577778E7
416;3.661304995577778E7
417;3.661304995577778E7
418;3.661304995577778E7
419;3.661304995577778E7
420;3.661304995577778E7
421;3.661304995577778E7
422;3.661304995577778E7
423;3.661304995577778E7
424;3.661304995577778E7
425;3.661304995577778E7
426;3.661304995577778E7
427;3.661304995577778E7
428;3.661304995577778E7
429;3.661304995577778E7
430;3.661304995577778E7
431;3.661304995577778E7
432;3.661304995577778E7
433;3.661304995577778E7
434;3.661304995577778E7
435;3.661304691077778E7
436;3.661304691077778E7
437;3.661304691077778E7
438;3.661304691077778E7
439;3.661304691077778E7
440;3.661304691077778E7
441;3.661304691077778E7
442;3.661304691077778E7
443;3.661304691077778E7
444;3.661304691077778E7
