*
* Ladesystemtypen
*
$CHARGINGSYSTEM:ID;Name
0;Plugin
1;Panthograph/Overhead
2;Battery Change
3;Induction
*
* Haltestellen
*
* List was extended and new attribute values were randomized using 'extendStopPointTable.py'
*
* ChargingSystem
*   -1 		= none
*   INT		= see above in CHARGINGSYSTEM
*
* FastChargingCapability
*    0 		= stop is not capable to fast charge
*    1 		= stop is capable to fast charge
*
* Haltestellen;;;;;;;;;;
*;;;;;;;;;;
$STOPPOINT:ID;Code;Name;VehCapacityForCharging
9472;9472;9472;1000
8423;8423;8423;1000
8419;8419;8419;1000
8437;8437;8437;1000
8424;8424;8424;1000
8313;8313;8313;1000
8757;8757;8757;1000
8368;8368;8368;1000
8575;8575;8575;1000
8755;8755;8755;1000
8351;8351;8351;1000
9217;9217;9217;1000
9216;9216;9216;1000
9110;9110;9110;1000
8398;8398;8398;1000
8615;8615;8615;1000
8400;8400;8400;1000
8689;8689;8689;1000
9057;9057;9057;1000
8612;8612;8612;1000
8576;8576;8576;1000
8941;8941;8941;1000
8943;8943;8943;1000
9068;9068;9068;1000
8194;8194;8194;1000
8438;8438;8438;0
8519;8519;8519;0
8195;8195;8195;0
8754;8754;8754;0
9366;9366;9366;0
9351;9351;9351;0
8504;8504;8504;0
9039;9039;9039;0
8405;8405;8405;0
8706;8706;8706;0
9136;9136;9136;0
8662;8662;8662;0
8940;8940;8940;0
9364;9364;9364;0
9365;9365;9365;0
9367;9367;9367;0
9032;9032;9032;0
9362;9362;9362;0
8215;8215;8215;0
8454;8454;8454;0
9170;9170;9170;0
8539;8539;8539;0
9314;9314;9314;0
8939;8939;8939;0
8942;8942;8942;0
8242;8242;8242;0
9578;9578;9578;0
8934;8934;8934;0
8980;8980;8980;0
8673;8673;8673;0
9543;9543;9543;0
8897;8897;8897;0
8214;8214;8214;0
8848;8848;8848;0
8717;8717;8717;0
9121;9121;9121;0
9091;9091;9091;0
8896;8896;8896;0
9070;9070;9070;0
9302;9302;9302;0
8849;8849;8849;0
8568;8568;8568;0
9227;9227;9227;0
8808;8808;8808;0
9301;9301;9301;0
9309;9309;9309;0
8956;8956;8956;0
8740;8740;8740;0
8567;8567;8567;0
8830;8830;8830;0
9300;9300;9300;0
8931;8931;8931;0
9171;9171;9171;0
8657;8657;8657;0
8538;8538;8538;0
8656;8656;8656;0
9158;9158;9158;0
9324;9324;9324;0
9194;9194;9194;0
9220;9220;9220;0
9159;9159;9159;0
8445;8445;8445;0
9287;9287;9287;0
9323;9323;9323;0
8244;8244;8244;0
8243;8243;8243;0
9574;9574;9574;0
8537;8537;8537;0
8213;8213;8213;0
8907;8907;8907;0
8435;8435;8435;0
8396;8396;8396;0
9196;9196;9196;0
9197;9197;9197;0
8247;8247;8247;0
8611;8611;8611;0
9145;9145;9145;0
8751;8751;8751;0
8496;8496;8496;0
8873;8873;8873;0
8212;8212;8212;0
9190;9190;9190;0
9148;9148;9148;0
9149;9149;9149;0
8610;8610;8610;0
8477;8477;8477;0
9526;9526;9526;0
8710;8710;8710;0
8711;8711;8711;0
8241;8241;8241;0
8703;8703;8703;0
8932;8932;8932;0
9224;9224;9224;0
9025;9025;9025;0
9005;9005;9005;0
8430;8430;8430;0
8401;8401;8401;0
8378;8378;8378;0
8744;8744;8744;0
9144;9144;9144;0
8933;8933;8933;0
9123;9123;9123;0
9114;9114;9114;0
8951;8951;8951;0
8908;8908;8908;0
8705;8705;8705;0
9060;9060;9060;0
9014;9014;9014;0
8967;8967;8967;0
9046;9046;9046;0
9252;9252;9252;0
8627;8627;8627;0
8628;8628;8628;0
8283;8283;8283;0
8379;8379;8379;0
9188;9188;9188;0
9135;9135;9135;0
8950;8950;8950;0
9041;9041;9041;0
8248;8248;8248;0
8495;8495;8495;0
8259;8259;8259;0
8260;8260;8260;0
8429;8429;8429;0
9113;9113;9113;0
8397;8397;8397;0
8891;8891;8891;0
8859;8859;8859;0
8871;8871;8871;0
9263;9263;9263;0
9264;9264;9264;0
9325;9325;9325;0
8961;8961;8961;0
8707;8707;8707;0
8866;8866;8866;0
8998;8998;8998;0
8421;8421;8421;0
8868;8868;8868;0
9134;9134;9134;0
8324;8324;8324;0
8909;8909;8909;0
8714;8714;8714;0
8704;8704;8704;0
8552;8552;8552;0
8553;8553;8553;0
8756;8756;8756;0
8992;8992;8992;0
8993;8993;8993;0
8558;8558;8558;0
8233;8233;8233;0
8234;8234;8234;0
9163;9163;9163;0
9225;9225;9225;0
8561;8561;8561;0
8791;8791;8791;0
8641;8641;8641;0
9011;9011;9011;0
8420;8420;8420;0
8245;8245;8245;0
9169;9169;9169;0
9077;9077;9077;0
8453;8453;8453;0
9111;9111;9111;0
8682;8682;8682;0
8266;8266;8266;0
8739;8739;8739;0
8486;8486;8486;0
8452;8452;8452;0
9221;9221;9221;0
8284;8284;8284;0
8285;8285;8285;0
8877;8877;8877;0
9141;9141;9141;0
8892;8892;8892;0
8893;8893;8893;0
8294;8294;8294;0
8295;8295;8295;0
8507;8507;8507;0
8510;8510;8510;0
9294;9294;9294;0
8577;8577;8577;0
8578;8578;8578;0
8630;8630;8630;0
1;1;1;1000
*;;;;;;;;;;
* Linien;;;;;;;;;;
*;;;;;;;;;;
$LINE:ID;Code;Name;;;;;;;;
1;1;1;;;;;;;;
2;2;2;;;;;;;;
3;3;3;;;;;;;;
4;4;4;;;;;;;;
5;5;5;;;;;;;;
6;6;6;;;;;;;;
7;7;7;;;;;;;;
8;8;8;;;;;;;;
9;9;9;;;;;;;;
10;10;10;;;;;;;;
11;11;11;;;;;;;;
12;12;12;;;;;;;;
13;13;13;;;;;;;;
14;14;14;;;;;;;;
15;15;15;;;;;;;;
16;16;16;;;;;;;;
17;17;17;;;;;;;;
18;18;18;;;;;;;;
19;19;19;;;;;;;;
20;20;20;;;;;;;;
